[Point: 36851.0, 9810.0, Point: 37864.0, 9810.0, Point: 37864.0, 10823.0, Point: 36851.0, 10823.0]
[Point: 37864.0, 9810.0, Point: 38877.0, 9810.0, Point: 38877.0, 10823.0, Point: 37864.0, 10823.0]
[Point: 38877.0, 9810.0, Point: 39890.0, 9810.0, Point: 39890.0, 10823.0, Point: 38877.0, 10823.0]
[Point: 40903.0, 9810.0, Point: 41916.0, 9810.0, Point: 41916.0, 10823.0, Point: 40903.0, 10823.0]
[Point: 41916.0, 9810.0, Point: 42929.0, 9810.0, Point: 42929.0, 10823.0, Point: 41916.0, 10823.0]
[Point: 35838.0, 10823.0, Point: 36851.0, 10823.0, Point: 36851.0, 11836.0, Point: 35838.0, 11836.0]
[Point: 36851.0, 10823.0, Point: 37864.0, 10823.0, Point: 37864.0, 11836.0, Point: 36851.0, 11836.0]
[Point: 37864.0, 10823.0, Point: 38877.0, 10823.0, Point: 38877.0, 11836.0, Point: 37864.0, 11836.0]
[Point: 38877.0, 10823.0, Point: 39890.0, 10823.0, Point: 39890.0, 11836.0, Point: 38877.0, 11836.0]
[Point: 39890.0, 10823.0, Point: 40903.0, 10823.0, Point: 40903.0, 11836.0, Point: 39890.0, 11836.0]
[Point: 41916.0, 10823.0, Point: 42929.0, 10823.0, Point: 42929.0, 11836.0, Point: 41916.0, 11836.0]
[Point: 42929.0, 10823.0, Point: 43942.0, 10823.0, Point: 43942.0, 11836.0, Point: 42929.0, 11836.0]
[Point: 35838.0, 11836.0, Point: 36851.0, 11836.0, Point: 36851.0, 12849.0, Point: 35838.0, 12849.0]
[Point: 36851.0, 11836.0, Point: 37864.0, 11836.0, Point: 37864.0, 12849.0, Point: 36851.0, 12849.0]
[Point: 37864.0, 11836.0, Point: 38877.0, 11836.0, Point: 38877.0, 12849.0, Point: 37864.0, 12849.0]
[Point: 38877.0, 11836.0, Point: 39890.0, 11836.0, Point: 39890.0, 12849.0, Point: 38877.0, 12849.0]
[Point: 39890.0, 11836.0, Point: 40903.0, 11836.0, Point: 40903.0, 12849.0, Point: 39890.0, 12849.0]
[Point: 40903.0, 11836.0, Point: 41916.0, 11836.0, Point: 41916.0, 12849.0, Point: 40903.0, 12849.0]
[Point: 42929.0, 11836.0, Point: 43942.0, 11836.0, Point: 43942.0, 12849.0, Point: 42929.0, 12849.0]
[Point: 45968.0, 11836.0, Point: 46981.0, 11836.0, Point: 46981.0, 12849.0, Point: 45968.0, 12849.0]
[Point: 46981.0, 11836.0, Point: 47994.0, 11836.0, Point: 47994.0, 12849.0, Point: 46981.0, 12849.0]
[Point: 35838.0, 12849.0, Point: 36851.0, 12849.0, Point: 36851.0, 13862.0, Point: 35838.0, 13862.0]
[Point: 36851.0, 12849.0, Point: 37864.0, 12849.0, Point: 37864.0, 13862.0, Point: 36851.0, 13862.0]
[Point: 37864.0, 12849.0, Point: 38877.0, 12849.0, Point: 38877.0, 13862.0, Point: 37864.0, 13862.0]
[Point: 38877.0, 12849.0, Point: 39890.0, 12849.0, Point: 39890.0, 13862.0, Point: 38877.0, 13862.0]
[Point: 39890.0, 12849.0, Point: 40903.0, 12849.0, Point: 40903.0, 13862.0, Point: 39890.0, 13862.0]
[Point: 40903.0, 12849.0, Point: 41916.0, 12849.0, Point: 41916.0, 13862.0, Point: 40903.0, 13862.0]
[Point: 45968.0, 12849.0, Point: 46981.0, 12849.0, Point: 46981.0, 13862.0, Point: 45968.0, 13862.0]
[Point: 46981.0, 12849.0, Point: 47994.0, 12849.0, Point: 47994.0, 13862.0, Point: 46981.0, 13862.0]
[Point: 35838.0, 13862.0, Point: 36851.0, 13862.0, Point: 36851.0, 14875.0, Point: 35838.0, 14875.0]
[Point: 36851.0, 13862.0, Point: 37864.0, 13862.0, Point: 37864.0, 14875.0, Point: 36851.0, 14875.0]
